"","GOR","Region_Name","sex","age_group","pop_raw",".groups","region","ethnicity","N","ethnicity_per","pop"
"618",9,"South_West_England","Male","(25,50]",828889.695546175,"drop","E12000009","Mixed",14584.355605095,0.0174811922627485,14489.9801324537
"619",9,"South_West_England","Male","(25,50]",828889.695546175,"drop","E12000009","Other",5537.83579347093,0.00663779565216963,5502.0004172246
"620",9,"South_West_England","Male","(25,50]",828889.695546175,"drop","E12000009","White",766535.215405346,0.918789272526166,761574.960375305
"621",9,"South_West_England","Male","(50,70]",713807.709474283,"drop","E12000009","Asian",9011.93076582014,0.0128702020898494,9186.84947422654
"622",9,"South_West_England","Male","(50,70]",713807.709474283,"drop","E12000009","Black",6054.10999536375,0.00864605167740853,6171.61834384726
"623",9,"South_West_England","Male","(50,70]",713807.709474283,"drop","E12000009","Mixed",4635.15942170698,0.00661960683301025,4725.12639109136
"624",9,"South_West_England","Male","(50,70]",713807.709474283,"drop","E12000009","Other",1820.7120214109,0.00260021212677881,1856.05146236323
"625",9,"South_West_England","Male","(50,70]",713807.709474283,"drop","E12000009","White",678694.81344663,0.969263927272953,691868.063802754
"626",9,"South_West_England","Male","(70, Inf]",387389.348102979,"drop","E12000009","Asian",1956.38976774058,0.00489368972175482,1895.76327112885
"627",9,"South_West_England","Male","(70, Inf]",387389.348102979,"drop","E12000009","Black",1164.62849178212,0.00291318763462921,1128.53785868067
"628",9,"South_West_England","Male","(70, Inf]",387389.348102979,"drop","E12000009","Mixed",1130.68199663415,0.0028282742819147,1095.64333032736
"629",9,"South_West_England","Male","(70, Inf]",387389.348102979,"drop","E12000009","Other",493.687429635875,0.0012349037702026,478.388566508698
"630",9,"South_West_England","Male","(70, Inf]",387389.348102979,"drop","E12000009","White",395032.669154116,0.988129944591499,382791.015076334
"631",10,"Wales","Female","(-Inf,1]",31713.0402795409,"drop","W99999999","Asian",1530.49581017319,0.0459243971784313,1456.40225753323
"632",10,"Wales","Female","(-Inf,1]",31713.0402795409,"drop","W99999999","Black",438.126444711761,0.0131465194008209,416.916099293998
"633",10,"Wales","Female","(-Inf,1]",31713.0402795409,"drop","W99999999","Mixed",1250.97243637321,0.0375369567465672,1190.41102127527
"634",10,"Wales","Female","(-Inf,1]",31713.0402795409,"drop","W99999999","Other",166.257313966923,0.00498875388595289,158.20855292994
"635",10,"Wales","Female","(-Inf,1]",31713.0402795409,"drop","W99999999","White",29940.5693351948,0.898403372788228,28491.1023485085
"636",10,"Wales","Female","(1,11]",174354.231675118,"drop","W99999999","Asian",6738.4266384546,0.0388116886671485,6766.98215757457
